"","filename","identifier","date","publisher","identifier-access","dup"
"1","sim_foreign-policy-bulletin_1936-02-07_15_15.txt","sim_foreign-policy-bulletin_1936-02-07_15_15","1936-02-07","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-02-07_15_15",FALSE
"2","sim_foreign-policy-bulletin_1936-08-07_15_41.txt","sim_foreign-policy-bulletin_1936-08-07_15_41","1936-08-07","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-08-07_15_41",FALSE
"3","sim_foreign-policy-bulletin_1936-01-10_15_11.txt","sim_foreign-policy-bulletin_1936-01-10_15_11","1936-01-10","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-01-10_15_11",FALSE
"4","sim_foreign-policy-bulletin_1936-01-24_15_13.txt","sim_foreign-policy-bulletin_1936-01-24_15_13","1936-01-24","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-01-24_15_13",FALSE
"5","sim_foreign-policy-bulletin_1936-01-17_15_12.txt","sim_foreign-policy-bulletin_1936-01-17_15_12","1936-01-17","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-01-17_15_12",FALSE
"6","sim_foreign-policy-bulletin_1936-01-31_15_14.txt","sim_foreign-policy-bulletin_1936-01-31_15_14","1936-01-31","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-01-31_15_14",FALSE
"7","sim_foreign-policy-bulletin_1935-12-13_15_7_0.txt","sim_foreign-policy-bulletin_1935-12-13_15_7_0","1935-12-13","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1935-12-13_15_7_0",FALSE
"8","sim_foreign-policy-bulletin_1936-07-17_15_38.txt","sim_foreign-policy-bulletin_1936-07-17_15_38","1936-07-17","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-07-17_15_38",FALSE
"9","sim_foreign-policy-bulletin_1936-10-02_15_49.txt","sim_foreign-policy-bulletin_1936-10-02_15_49","1936-10-02","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-10-02_15_49",FALSE
"10","sim_foreign-policy-bulletin_1936-01-03_15_10.txt","sim_foreign-policy-bulletin_1936-01-03_15_10","1936-01-03","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-01-03_15_10",FALSE
"11","sim_foreign-policy-bulletin_1936-07-10_15_37_0.txt","sim_foreign-policy-bulletin_1936-07-10_15_37_0","1936-07-10","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-07-10_15_37_0",FALSE
"12","sim_foreign-policy-bulletin_1936-03-20_15_21_0.txt","sim_foreign-policy-bulletin_1936-03-20_15_21_0","1936-03-20","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-03-20_15_21_0",FALSE
"13","sim_foreign-policy-bulletin_1936-09-04_15_45_0.txt","sim_foreign-policy-bulletin_1936-09-04_15_45_0","1936-09-04","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-09-04_15_45_0",FALSE
"14","sim_foreign-policy-bulletin_1936-08-21_15_43_0.txt","sim_foreign-policy-bulletin_1936-08-21_15_43_0","1936-08-21","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-08-21_15_43_0",FALSE
"15","sim_foreign-policy-bulletin_1936-04-24_15_26_0.txt","sim_foreign-policy-bulletin_1936-04-24_15_26_0","1936-04-24","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-04-24_15_26_0",FALSE
"16","sim_foreign-policy-bulletin_1936-05-08_15_28_0.txt","sim_foreign-policy-bulletin_1936-05-08_15_28_0","1936-05-08","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-05-08_15_28_0",FALSE
"17","sim_foreign-policy-bulletin_1936-10-09_15_50_0.txt","sim_foreign-policy-bulletin_1936-10-09_15_50_0","1936-10-09","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-10-09_15_50_0",FALSE
"18","sim_foreign-policy-bulletin_1936-05-15_15_29_0.txt","sim_foreign-policy-bulletin_1936-05-15_15_29_0","1936-05-15","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-05-15_15_29_0",FALSE
"19","sim_foreign-policy-bulletin_1936-03-06_15_19_0.txt","sim_foreign-policy-bulletin_1936-03-06_15_19_0","1936-03-06","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-03-06_15_19_0",FALSE
"20","sim_foreign-policy-bulletin_1936-06-05_15_32_0.txt","sim_foreign-policy-bulletin_1936-06-05_15_32_0","1936-06-05","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-06-05_15_32_0",FALSE
"21","sim_foreign-policy-bulletin_1936-02-21_15_17.txt","sim_foreign-policy-bulletin_1936-02-21_15_17","1936-02-21","Foreign Policy Association","http://archive.org/details/sim_foreign-policy-bulletin_1936-02-21_15_17",FALSE
